leg,instrument_name,strike,option_type,expiry,entry_price,entry_iv,entry_underlying,entry_gap_hours,data_quality_ok,session_start,session_close,session_type,session_dow,spot_at_open
atm_put,BTC-29OCT22-20000-P,20000.0,P,2022-10-29 08:00:00+00:00,0.0035,0.3594,20195.77,0.8,True,2022-10-28 08:00:00+00:00,2022-10-29 08:00:00+00:00,weekday,friday,20082.3
otm_call,BTC-29OCT22-21000-C,21000.0,C,2022-10-29 08:00:00+00:00,0.0005,0.4639999999999999,20190.15,0.89,True,2022-10-28 08:00:00+00:00,2022-10-29 08:00:00+00:00,weekday,friday,20082.3
otm_put,BTC-29OCT22-19500-P,19500.0,P,2022-10-29 08:00:00+00:00,0.001,0.4982,20194.62,0.78,True,2022-10-28 08:00:00+00:00,2022-10-29 08:00:00+00:00,weekday,friday,20082.3
atm_call,BTC-30OCT22-20750-C,20750.0,C,2022-10-30 08:00:00+00:00,0.0135,0.4222999999999999,20928.51,1.0,True,2022-10-29 08:00:00+00:00,2022-10-30 08:00:00+00:00,weekend,saturday,20781.95
atm_put,BTC-30OCT22-20750-P,20750.0,P,2022-10-30 08:00:00+00:00,0.003,0.2887,20903.61,0.37,True,2022-10-29 08:00:00+00:00,2022-10-30 08:00:00+00:00,weekend,saturday,20781.95
otm_call,BTC-30OCT22-22000-C,22000.0,C,2022-10-30 08:00:00+00:00,0.0005,0.557,20927.11,0.4,True,2022-10-29 08:00:00+00:00,2022-10-30 08:00:00+00:00,weekend,saturday,20781.95
otm_put,BTC-30OCT22-19500-P,19500.0,P,2022-10-30 08:00:00+00:00,0.0005,0.7506,20915.26,1.03,True,2022-10-29 08:00:00+00:00,2022-10-30 08:00:00+00:00,weekend,saturday,20781.95
atm_call,BTC-31OCT22-20750-C,20750.0,C,2022-10-31 08:00:00+00:00,0.013,0.5005,20851.84,0.06,True,2022-10-30 08:00:00+00:00,2022-10-31 08:00:00+00:00,weekend,sunday,20789.51
atm_put,BTC-31OCT22-20750-P,20750.0,P,2022-10-31 08:00:00+00:00,0.007,0.4475,20854.78,0.02,True,2022-10-30 08:00:00+00:00,2022-10-31 08:00:00+00:00,weekend,sunday,20789.51
otm_call,BTC-31OCT22-22000-C,22000.0,C,2022-10-31 08:00:00+00:00,0.0005,0.6278,20773.25,0.87,True,2022-10-30 08:00:00+00:00,2022-10-31 08:00:00+00:00,weekend,sunday,20789.51
